barcode,foodcode,usdadescmain,hei_score
070770000128,11111000.0,"Milk, cow's, fluid, whole",0.02
010535323437,31101010.0,"Egg, whole, raw",0.07
078000082319,92410360.0,"Soft drink, pepper-type",0.01
049000005486,92410310.0,"Soft drink, cola-type",0.01
072250049191,51101000.0,"Bread, white",0.05
027815003200,25230210.0,"Ham, sliced, prepackaged or deli, luncheon meat",0.15
M-4069,75103000.0,"Cabbage, green, raw",0.03
075200004110,12210420.0,"Cream substitute, flavored, powdered",0.1
852772001064,54402080.0,"Salty snacks, corn or cornmeal base, tortilla chips, unsalted",0.25
810854012063,93101000.0,Beer,0.02
790874001028,74402150.0,"Salsa, red, commercially-prepared",0.13
M-9056,42114130.0,Pistachio nuts,0.13
031493242424,51300110.0,"Bread, whole wheat, NS as to 100%",0.2
M-4025,63137010.0,"Pear, raw",0.31
041270010542,11113000.0,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",0.01
070424065008,13130300.0,"Light ice cream, flavors other than chocolate (formerly ice milk)",0.03
M-4079,75107000.0,"Cauliflower, raw",0.09
041498154905,14204010.0,"Cheese, cottage, lowfat (1-2% fat)",0.06
033383081854,63101000.0,"Apple, raw",0.04
041498120429,16049.0,"Beans, white, mature seeds, raw",0.05
061500004196,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.01
639277218117,83112500.0,Creamy dressing,0.08
072600000018,71201015.0,"White potato chips, regular cut",0.79
076545001352,92301060.0,"Tea, NS as to type, presweetened with sugar",0.01
025800020317,32202010.0,"Egg, cheese, and ham on English muffin",0.12
786162003324,94210200.0,Glaceau Water,0.03
786162003027,94210200.0,Glaceau Water,0.03
683794455999,27150210.0,Fish sauce (bagoong),0.05
044738018432,42401010.0,"Coconut milk (liquid expressed from grated coconut meat, water added)",0.09
034500622141,11112210.0,"Milk, cow's, fluid, 1% fat",0.01
071673020541,51201010.0,"Bread, whole wheat, 100%",0.09
016000288874,57335550.0,Reese's Peanut Butter Puffs cereal,0.04
016000434318,57128000.0,Cocoa Puffs,0.05
M-4029,63141010.0,"Pineapple, raw",0.03
021000123544,14204010.0,"Cheese, cottage, lowfat (1-2% fat)",0.06
036632021809,11433500.0,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener",0.08
M-4270,63123000.0,"Grapes, raw, NS as to type",0.04
768395455583,91745010.0,Gumdrops,0.5
041376702228,91745010.0,Gumdrops,0.11
042200027029,92410360.0,"Soft drink, pepper-type",0.01
041383090103,11114330.0,"Milk, cow's, fluid, lactose reduced, 2% fat",0.02
890000001110,63101150.0,Applesauce with other fruits,0.12
011152066004,43103000.0,Sesame seeds,0.21
011110444455,14203010.0,"Cheese, cottage, dry curd",0.04
011110480514,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.02
071494000210,51401010.0,"Bread, rye",0.06
038000035302,57148000.0,Crispix,0.05
038000045301,57143000.0,Cracklin' Oat Bran,0.08
014100071198,51404010.0,"Bread, pumpernickel",0.13
079311000047,42202000.0,Peanut butter,0.03
669887499514,42101200.0,"Almonds, dry roasted (assume salted)",0.11
011110090973,54325000.0,"Crackers, saltine",0.06
016571910303,92410250.0,"Carbonated water, sweetened, with low-calorie or no-calorie sweetener",0.02
734756000013,74406010.0,Barbecue sauce,0.06
023709110665,75226700.0,Pimiento,0.16
021500048064,91361020.0,Fruit sauce,0.07
052100465210,2038.0,"Spices, sage, ground",2.7
053000004363,14410200.0,"Cheese, processed, American or Cheddar type",0.11
044000006990,53235000.0,"Cookie, peanut butter sandwich",0.09
021431600669,92191100.0,"Coffee, dry instant powder, regular",0.11
043000043011,92191100.0,"Coffee, dry instant powder, regular",0.11
041271025033,12210210.0,"Cream substitute, flavored, liquid",0.04
681131917476,71601010.0,"Potato salad with egg, made with mayonnaise",0.03
681131917452,58148120.0,Macaroni or pasta salad with egg,0.04
045000411821,53109200.0,"Snack cake, not chocolate, with icing or filling",0.04
072250003766,51202000.0,"Muffin, English, whole wheat, 100%",0.42
044000023812,53247000.0,"Cookie, vanilla wafer",0.07
072180564436,58106200.0,"Pizza, cheese, prepared from frozen, thin crust",0.12
078742074955,21500100.0,"Ground beef or patty, cooked, NS as to percent lean (formerly NS as to regular, lean, or extra lean)",0.02
070277290831,14104400.0,"Cheese, Feta",0.34
070277831522,14108010.0,"Cheese, Parmesan, dry grated",0.23
050400727090,51301010.0,"Bread, wheat or cracked wheat",0.06
034000047529,91707010.0,"Fondant, chocolate covered",0.07
044700059937,10123.0,"Pork, cured, bacon, unprepared",0.06
681131329460,72125100.0,"Spinach, raw",0.17
075620558743,5100.0,"Chicken, broilers or fryers, wing, meat and skin, raw",0.02
077782008395,25221350.0,Italian sausage,0.06
049000037111,92410520.0,"Soft drink, fruit-flavored, sugar free, caffeine free",0.01
070640034055,13110110.0,"Ice cream, regular, chocolate",0.03
012000810176,92411610.0,"Cola with fruit or vanilla flavor, sugar-free",0.01
048121184070,51202000.0,"Muffin, English, whole wheat, 100%",0.42
715141113570,31101010.0,"Egg, whole, raw",0.02
030000059708,91301020.0,Cane and corn pancake syrup,0.02
073651117083,75510010.0,"Olives, green",0.15
071300000632,20106.0,"Macaroni, vegetable, cooked, enriched",0.11
074534247002,91611000.0,Ice pop,0.03
030034057596,54401210.0,"Salty snacks, corn based puffs and twists, cheese puffs and twists, lowfat",0.23
071319002146,51201010.0,"Bread, whole wheat, 100%",0.18
011110022738,51150000.0,"Roll, white, soft",0.04
011110003850,51101000.0,"Bread, white",0.06
011110609038,31101010.0,"Egg, whole, raw",0.07
011110213815,25231110.0,"Beef, sliced, prepackaged or deli, luncheon meat",0.19
028400028196,54401080.0,"Salty snacks, corn or cornmeal base, tortilla chips",0.4
011110466020,12350000.0,"Dip, sour cream base",0.09
011110719775,6957.0,"Gravy, brown instant, dry",0.19
011110587114,14010100.0,"Cheese, Cheddar or American type, NS as to natural or processed",0.23
011110497956,92410360.0,"Soft drink, pepper-type",0.0
049000030778,92410360.0,"Soft drink, pepper-type",0.01
012000000164,92410310.0,"Soft drink, cola-type",0.01
049000028904,92410310.0,"Soft drink, cola-type",0.01
642205549757,25221840.0,"Turkey breakfast sausage, bulk, patty or link, cooked",0.08
078742429632,92410210.0,"Carbonated water, unsweetened",0.02
681131780957,92410210.0,"Carbonated water, unsweetened",0.03
078742352015,11112110.0,"Milk, cow's, fluid, 2% fat",0.02
012900007119,53101100.0,"Cake, angel food, without icing or filling",0.14
739510002845,94210300.0,SoBe Lifewater,0.04
049000051056,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.05
028400073622,53108200.0,"Snack cake, chocolate, with icing or filling",0.07
